uid,status,error,runtime_seconds,input_csv,missingness_type,method,prioritization_mode,partner_proportion,edge_threshold_rule,edge_threshold_value,alpha,beta,model_func,max_rounds,output_imputed_csv,output_runtime_txt
HP0011,ok,,2.7037,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,centrality,0.15,p85,0.5940558086322196,0.5,1.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0011_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0011_runtime.txt
HP0012,ok,,2.7093,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,centrality,0.15,p85,0.4655959235146816,1.5,0.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0012_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0012_runtime.txt
HP0013,ok,,7.0454,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,centrality,0.25,None,,1.0,1.0,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0013_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0013_runtime.txt
HP0014,ok,,7.3026,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,centrality,0.25,None,,0.5,1.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0014_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0014_runtime.txt
HP0015,ok,,7.7953,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,centrality,0.25,None,,1.5,0.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0015_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0015_runtime.txt
HP0016,ok,,7.7164,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,centrality,0.25,p85,0.523885790127449,1.0,1.0,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0016_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0016_runtime.txt
HP0017,ok,,7.1959,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,centrality,0.25,p85,0.5940558086322196,0.5,1.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0017_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0017_runtime.txt
HP0018,ok,,7.5535,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,centrality,0.25,p85,0.4655959235146816,1.5,0.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0018_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0018_runtime.txt
HP0019,ok,,53.3689,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,utility,0.08,None,,1.0,1.0,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0019_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0019_runtime.txt
HP0020,ok,,51.5105,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,utility,0.08,None,,0.5,1.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0020_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0020_runtime.txt
HP0021,ok,,50.4344,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,utility,0.08,None,,1.5,0.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0021_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0021_runtime.txt
HP0022,ok,,50.1441,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,utility,0.08,p85,0.523885790127449,1.0,1.0,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0022_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0022_runtime.txt
HP0023,ok,,54.8498,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,utility,0.08,p85,0.5940558086322196,0.5,1.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0023_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0023_runtime.txt
HP0024,ok,,54.8862,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,utility,0.08,p85,0.4655959235146816,1.5,0.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0024_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0024_runtime.txt
HP0025,ok,,52.6431,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,utility,0.15,None,,1.0,1.0,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0025_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0025_runtime.txt
HP0026,ok,,54.3227,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,utility,0.15,None,,0.5,1.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0026_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0026_runtime.txt
HP0027,ok,,51.5625,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,utility,0.15,None,,1.5,0.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0027_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0027_runtime.txt
HP0028,ok,,54.1515,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,utility,0.15,p85,0.523885790127449,1.0,1.0,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0028_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0028_runtime.txt
HP0029,ok,,54.5975,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,utility,0.15,p85,0.5940558086322196,0.5,1.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0029_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0029_runtime.txt
HP0030,ok,,52.6530,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,utility,0.15,p85,0.4655959235146816,1.5,0.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0030_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0030_runtime.txt
HP0031,ok,,60.5166,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,utility,0.25,None,,1.0,1.0,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0031_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0031_runtime.txt
HP0032,ok,,58.8314,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,utility,0.25,None,,0.5,1.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0032_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0032_runtime.txt
HP0033,ok,,59.5954,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,utility,0.25,None,,1.5,0.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0033_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0033_runtime.txt
HP0034,ok,,62.6373,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,utility,0.25,p85,0.523885790127449,1.0,1.0,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0034_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0034_runtime.txt
HP0035,ok,,64.5394,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,utility,0.25,p85,0.5940558086322196,0.5,1.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0035_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0035_runtime.txt
HP0036,ok,,56.5556,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,degree,utility,0.25,p85,0.4655959235146816,1.5,0.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0036_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0036_runtime.txt
HP0037,ok,,2.7558,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,betweenness,centrality,0.08,None,,1.0,1.0,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0037_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0037_runtime.txt
HP0038,ok,,2.6770,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,betweenness,centrality,0.08,None,,0.5,1.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0038_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0038_runtime.txt
HP0039,ok,,2.7019,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,betweenness,centrality,0.08,None,,1.5,0.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0039_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0039_runtime.txt
HP0040,ok,,2.7426,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,betweenness,centrality,0.08,p85,0.523885790127449,1.0,1.0,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0040_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0040_runtime.txt
HP0041,ok,,2.7873,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,betweenness,centrality,0.08,p85,0.5940558086322196,0.5,1.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0041_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0041_runtime.txt
HP0042,ok,,2.8005,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,betweenness,centrality,0.08,p85,0.4655959235146816,1.5,0.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0042_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0042_runtime.txt
HP0043,ok,,2.6625,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,betweenness,centrality,0.15,None,,1.0,1.0,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0043_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0043_runtime.txt
HP0044,ok,,2.7092,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,betweenness,centrality,0.15,None,,0.5,1.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0044_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0044_runtime.txt
HP0045,ok,,2.6938,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,betweenness,centrality,0.15,None,,1.5,0.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0045_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0045_runtime.txt
HP0046,ok,,2.7265,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,betweenness,centrality,0.15,p85,0.523885790127449,1.0,1.0,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0046_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0046_runtime.txt
HP0047,ok,,2.7376,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,betweenness,centrality,0.15,p85,0.5940558086322196,0.5,1.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0047_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0047_runtime.txt
HP0048,ok,,2.7214,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,betweenness,centrality,0.15,p85,0.4655959235146816,1.5,0.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0048_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0048_runtime.txt
HP0049,ok,,7.1702,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MAR/eeg_MAR_0.1.csv,MAR,betweenness,centrality,0.25,None,,1.0,1.0,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0049_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0049_runtime.txt
